,Spot size (Âµm),Fe57_mean,Pb204_mean,Pb206_mean,Pb207_mean,Pb208_mean,Th232_mean,U238_mean,TotalBeam_mean,BeamSeconds_mean,Mask_mean,Fe57_CPS_mean,Pb204_CPS_mean,Pb206_CPS_mean,Pb207_CPS_mean,Pb208_CPS_mean,Th232_CPS_mean,U238_CPS_mean,TotalBeam_CPS_mean,Pb206/U238_mean,Pb206/U238 age_mean,Pb207/U235_mean,Pb207/U235 age_mean,Pb208/Th232_mean,Pb208/Th232 age_mean,DC Pb206/U238_mean,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb207/U235_mean,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb208/Th232_mean,DC Pb208/Th232 age_mean,DC Pb207/Pb206_mean,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC U238/Pb206_mean,Raw U/Th_mean,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
MP111_4-43,40,1.65603e+07,5373.88,1904.78,1630.07,3901.84,301.115,640.694,1.65741e+07,20.8935,1,1.65599e+07,54.0915,1889.07,1617.25,3878.54,295.884,632.916,1.65684e+07,3.21312,9157.78,371.102,5995.56,-14.8535,53656.8,7.57755,0.380516,13708.5,300.484,14.6095,5778.21,-14.8535,53656.8,0.865722,0.0228171,4785.79,0.140142,-1.46711,2.92935,0.147102,8721.88,233.883,342.494,16.6521,5910.65,47.6318,0.866443,0.022836,4786.98,37.6041,0.362353,0.0188813,0.551455,0.32624,
MP111_4-44,40,1.90226e+07,5423.07,4971.7,4157.82,9746.93,772.095,1623.44,1.90494e+07,20.8935,1,1.90221e+07,151.325,4956.58,4145.9,9724.65,767.092,1617.26,1.90436e+07,2.98793,8680.26,344.2,5861.37,13.5981,52464.1,7.36535,0.645562,13138.2,288.003,24.6709,5638.26,13.5981,52464.1,0.836913,0.0135558,4877.21,0.170065,2.53424,2.84682,0.249534,8308.56,389.602,328.229,28.1179,5770.46,82.7641,0.837555,0.0135662,4878.3,20.3752,0.439805,0.0308075,0.984448,0.0877479,
MP111_4-46,40,1.84736e+07,5344.11,2333.96,2024.65,4766.35,958.468,550.293,1.84905e+07,20.8935,1,1.84731e+07,-42.0168,2320.1,2012.34,4745.57,953.405,547.6,1.84845e+07,4.72822,10581.5,553.051,6263.05,5.6656,35864,10.8606,1.01279,15264,442.456,47.7238,6039.76,5.6656,35864,0.843432,0.021482,4810.89,0.115452,0.710766,4.19667,0.391356,10048.6,414.759,504.166,54.3808,6171.95,88.7685,0.844055,0.0214979,4811.95,34.5606,0.298636,0.0234803,0.986583,0.068887,
RAK-17
RAK-1,30,610.073,8129.18,39619.4,2079.06,15847.1,995666,841485,1.91319e+06,21.105,1,65.034,356.544,39602,2062.96,15806.9,995665,841486,1.90484e+06,0.0480568,302.55,0.342566,299.189,0.0159971,320.752,0.112848,0.00365783,689.087,0.275767,0.00956931,246.957,0.0159971,320.752,0.0520213,0.000837672,280.406,8.90927,0.836686,0.0422707,0.00136948,266.863,8.46636,0.304591,0.0105667,269.588,8.1992,0.0520956,0.000838857,283.678,35.867,23.761,0.760063,0.456702,0.136545,
RAK-2,30,549.735,7887.37,36550.3,1925.06,14399.3,923476,780426,1.76216e+06,21.105,1,154.446,394.086,36532.3,1906.87,14364.9,923470,780423,1.75421e+06,0.04747,298.938,0.341652,297.957,0.0156843,314.526,0.111699,0.00360023,682.446,0.274351,0.00945277,245.848,0.0156843,314.526,0.0523639,0.000814887,287.718,8.99646,0.840525,0.0427371,0.00137432,269.75,8.49338,0.310755,0.0106975,274.38,8.31089,0.0526105,0.000818716,298.465,34.6778,23.5107,0.749633,0.533831,0.0591708,
RAK-3,30,422.608,7496.59,35306.2,1892.65,14142.5,885221,750814,1.69537e+06,20.8935,1,69.6073,249.153,35291.7,1880.13,14116.5,885218,750808,1.6877e+06,0.0477728,300.804,0.354374,307.906,0.0163176,327.115,0.112861,0.00362969,689.188,0.28387,0.00967207,253.418,0.0163176,327.115,0.0540448,0.0010474,345.598,8.90177,0.845771,0.0436222,0.00140236,275.219,8.65829,0.323518,0.011023,284.232,8.44671,0.0541371,0.00104902,349.478,43.972,23.0221,0.730193,0.0681345,0.476984,
RAK-4,30,471.602,7465.73,34336.9,1831.08,13689.1,853338,733196,1.64853e+06,20.8935,1,189.679,296.425,34321.2,1821.92,13672.7,853338,733196,1.64105e+06,0.0474538,298.843,0.350241,304.311,0.0161127,323.058,0.112304,0.003623,685.952,0.281404,0.0097269,251.433,0.0161127,323.058,0.0532665,0.000871616,332.899,8.94923,0.853843,0.0428665,0.00138271,270.549,8.54631,0.317498,0.0109744,279.57,8.43387,0.0534699,0.000874961,341.553,37.8274,23.4292,0.758247,0.396436,0.197131,
RAK-5,30,427.943,7489.01,31108.5,1625.92,11854.5,736522,662559,1.45486e+06,20.8935,1,75.2802,475.467,31098.3,1614.73,11835.9,736522,662556,1.44749e+06,0.0475195,299.25,0.341337,298.182,0.0161589,323.972,0.1125,0.00364655,687.07,0.274842,0.00992656,246.114,0.0161589,323.972,0.05222,0.000982356,267.928,8.93774,0.894561,0.043206,0.00140563,272.645,8.68546,0.311693,0.0112668,274.952,8.75168,0.0523729,0.000985234,274.652,44.3063,23.2575,0.760397,0.432845,0.0829519,
RAK-6,30,381.013,7362.12,28725.8,1469.47,11826.7,730134,606320,1.38977e+06,21.105,1,177.391,424.697,28715.7,1461.72,11806.2,730133,606321,1.38268e+06,0.0481381,303.045,0.33944,296.724,0.0162322,325.427,0.11357,0.00362641,693.309,0.272119,0.00962799,244.006,0.0162322,325.427,0.0511547,0.000970171,230.21,8.83148,0.824978,0.044704,0.00142007,281.901,8.76252,0.316495,0.0111878,278.723,8.64008,0.0511602,0.000970241,230.461,44.1275,22.4373,0.701395,0.246425,0.249939,
RAK-7,30,347.493,7361.23,26650,1370.3,10793.6,657679,559424,1.26679e+06,21.105,1,137.231,386.479,26642.5,1362.69,10774.6,657677,559421,1.25959e+06,0.0484205,304.79,0.339958,296.479,0.016482,330.388,0.114096,0.00371611,696.294,0.273419,0.0101849,244.898,0.016482,330.388,0.0512333,0.00107722,223.885,8.81693,0.845149,0.0434999,0.00142024,274.457,8.77375,0.308219,0.0114876,272.166,8.91815,0.0514507,0.0010818,233.704,47.4755,23.0858,0.761066,0.404877,0.111557,
RAK-8,30,368.723,7231.04,19036.4,988.754,6807.44,415073,395414,844965,20.8935,1,195.633,340.251,19026.8,981.633,6787.39,415071,395415,837870,0.0490437,308.605,0.351757,305.209,0.0165586,331.894,0.115994,0.00373556,707.295,0.281724,0.0102571,251.544,0.0165586,331.894,0.0520059,0.00110755,251.483,8.66347,0.949307,0.0445633,0.0014339,281.028,8.8494,0.320394,0.0116635,281.62,8.94233,0.0523862,0.00111563,268.282,49.6388,22.5303,0.733024,0.233054,0.275354,
RAK-9,30,315.26,6944.02,22262.5,1164.08,8503.44,520626,467301,1.02749e+06,21.105,1,225.388,423.853,22253.3,1154.89,8489.06,520622,467301,1.02086e+06,0.0479715,302.031,0.343492,299.152,0.0162002,324.78,0.113292,0.00373078,691.607,0.276111,0.0102403,247.605,0.0162002,324.78,0.0521358,0.00107095,270.696,8.8876,0.889476,0.0433453,0.0014267,273.497,8.8106,0.313528,0.0116261,276.891,9.18666,0.052597,0.00108044,290.923,47.5834,23.2131,0.754362,0.412649,0.159266,
RAK-10,30,338.554,6789.26,26598.4,1398.74,10715.7,683854,564493,1.29423e+06,21.105,1,107.328,308.755,26591.5,1388.14,10697.4,683851,564492,1.28749e+06,0.0476135,299.828,0.340641,297.132,0.0157651,316.131,0.112581,0.00366242,687.529,0.273089,0.00969985,244.769,0.0157651,316.131,0.0519198,0.000984099,266.31,8.93428,0.822116,0.0439051,0.00142679,276.96,8.80941,0.316447,0.0112355,278.674,8.64989,0.0524589,0.000994317,290.028,42.6711,22.8762,0.746848,0.327175,0.238226,
RAK-11,30,361.372,6576.37,26328.9,1361.08,10696.7,677092,551312,1.28003e+06,20.8935,1,273.915,279.95,26321.6,1353.6,10676,677091,551316,1.27366e+06,0.0477259,300.52,0.339599,296.198,0.0158892,318.602,0.113026,0.00366586,690.115,0.272008,0.00989088,243.843,0.0158892,318.602,0.0516131,0.00105562,241.539,8.89627,0.818345,0.043955,0.00142865,277.27,8.8197,0.3141,0.0114285,276.784,8.85983,0.0521932,0.00106749,267.329,47.4512,22.858,0.741526,0.369631,0.158085,
RAK-12,30,302.253,6297.88,24580.3,1274.25,10215.3,638189,523978,1.20487e+06,21.105,1,15.7036,227.703,24572.6,1267.88,10201.8,638189,523977,1.19849e+06,0.0472453,297.568,0.336619,294.1,0.0160261,321.325,0.111891,0.00367046,683.504,0.270681,0.00977389,242.807,0.0160261,321.325,0.0517334,0.000964986,247.104,8.99565,0.816311,0.0418163,0.00136993,264.048,8.47278,0.301225,0.010869,266.848,8.4883,0.0523199,0.000975926,273.076,43.5466,24.0475,0.77816,0.444707,0.134969,
RAK-13,30,305.034,6008.88,24291,1261.85,10148.1,623343,517169,1.18299e+06,20.8935,1,57.5806,210.868,24284.2,1255.16,10134.8,623343,517166,1.17693e+06,0.0472848,297.809,0.336578,294.038,0.0163254,327.275,0.112145,0.00365121,685,0.271526,0.0100511,243.413,0.0163254,327.275,0.0514878,0.000907638,251.697,8.96945,0.824757,0.0442566,0.00143752,279.13,8.87159,0.318601,0.011789,280.187,9.04578,0.0520539,0.000917625,276.868,43.5349,22.7065,0.737084,0.484272,0.04751,
RAK-14,30,252.518,5757.66,24078,1250.17,10247.1,612550,512262,1.16643e+06,20.8935,1,188.668,64.7625,24069.6,1242.51,10233,612550,512260,1.16063e+06,0.0473058,297.936,0.336047,293.648,0.0167894,336.499,0.11213,0.00369705,684.872,0.270227,0.00991532,242.401,0.0167894,336.499,0.0515764,0.00104287,241.461,8.98061,0.834107,0.0448468,0.00147587,282.764,9.09953,0.320118,0.0117399,281.377,9.04707,0.0520166,0.00105177,261.084,46.6793,22.4548,0.728817,0.399286,0.186156,
RAK-15,30,269.667,5646.19,22067.3,1168.88,6208.35,362511,461101,859115,21.1056,1,118.177,56.3638,22059.9,1162.07,6191.64,362508,461102,853348,0.0484534,304.99,0.352779,306.795,0.0175446,351.482,0.114789,0.00374033,700.299,0.28369,0.0103646,253.082,0.0175446,351.482,0.0528668,0.00106019,298.223,8.76315,1.26987,0.043978,0.00144293,277.409,8.90654,0.323705,0.011852,284.135,9.10204,0.0534655,0.00107218,323.938,45.8111,22.8638,0.744251,0.373441,0.161966,
RAK-16,30,278.414,5421.96,22181.3,1172.46,7739.25,484292,465858,989089,20.8935,1,46.4311,142.787,22171.1,1165.66,7724.57,484291,465853,983547,0.0483243,304.185,0.35357,306.629,0.0161458,323.694,0.114512,0.00362883,698.783,0.283315,0.0101667,252.838,0.0161458,323.694,0.0528134,0.00107394,294.337,8.76256,0.951391,0.0435109,0.00137174,274.54,8.47485,0.319568,0.0114565,281.035,8.83007,0.0533412,0.00108467,317.072,47.7204,23.0407,0.734374,0.17299,0.239983,
RAK-17,30,240.913,5367.58,23078.3,1191.68,8092.53,501185,487485,1.02662e+06,20.8935,1,43.4221,56.9167,23069.9,1184.22,8081.22,501184,487483,1.02109e+06,0.0477604,300.724,0.336969,294.787,0.0163645,328.047,0.113183,0.00364962,691.039,0.27131,0.01012,243.215,0.0163645,328.047,0.0512618,0.00111057,222.246,8.87896,0.966434,0.0435638,0.00140587,274.857,8.6817,0.310024,0.0115671,273.553,9.00458,0.05172,0.0011205,242.877,50.9383,23.0536,0.73927,0.337468,0.133974,
RAK-18,30,249.722,5479.64,22287.5,1146.04,7868.73,487128,471916,997919,21.1056,1,16.5466,269.41,22282.4,1139.97,7857.49,487128,471916,992469,0.0476192,299.855,0.338283,295.18,0.0162521,325.804,0.112699,0.0035968,688.269,0.269998,0.00967077,242.286,0.0162521,325.804,0.0513669,0.00103323,226.946,8.90852,0.964329,0.0446701,0.00141806,281.692,8.74695,0.318018,0.0113789,279.854,8.74698,0.0518509,0.00104296,248.649,46.4963,22.4594,0.705496,0.27195,0.193537,
Z_91500
91500-7,30,544.147,5984.42,28080.6,2074.06,3064.83,55332.9,172829,267927,20.8935,1,16.7905,135.241,28065.1,2059.36,3029.61,55332.8,172823,261460,0.165888,989.011,1.67419,995.398,0.0552101,1085.27,0.391194,0.0122717,2127.73,1.34457,0.0462183,862.988,0.0552101,1085.27,0.0733363,0.00125282,1008.64,2.56269,3.08981,0.146595,0.00459577,881.72,25.8533,1.48599,0.0510722,922.267,20.962,0.0734534,0.00125482,1011.88,35.7099,6.83158,0.217096,0.218666,0.217143,
91500-8,30,530.738,5917.82,27993.7,2120.85,3050.38,56021.4,172657,268298,20.8935,1,71.9663,-25.2387,27979.4,2107.22,3018.88,56021.2,172649,261826,0.165192,985.181,1.70627,1009.56,0.0542578,1074.22,0.390134,0.0122468,2122.81,1.37661,0.0461875,877.153,0.0542578,1074.22,0.0754018,0.00112254,1065.56,2.56973,3.05857,0.146237,0.00458789,879.703,25.7992,1.52198,0.0510569,937.278,20.6789,0.0755301,0.00112447,1068.98,30.0203,6.8484,0.215359,0.364066,0.118047,
91500-1,30,464.815,5675.68,17914,1342.29,1426.34,26193.9,107305,160336,20.8935,1,-9.40704,158.475,17896.5,1325.91,1394.95,26188.1,107293,154253,0.171062,1017.34,1.74502,1021.83,0.0546138,1072.24,0.40276,0.0125862,2181.17,1.39896,0.0496082,885.585,0.0546138,1072.24,0.074295,0.00149426,1034.91,2.48616,4.09602,0.154387,0.00481541,925.386,26.893,1.58781,0.0562991,962.212,22.3543,0.074667,0.00150178,1045.01,39.261,6.48569,0.198697,0.0721865,0.256584,
91500-2,30,444.703,5544.79,17996.9,1346.29,1511.21,26841.7,110305,163997,20.8935,1,-23.9916,-268.904,17978.8,1329.59,1480.76,26836.3,110296,157638,0.16564,987.673,1.68925,1002.08,0.0547837,1076.2,0.391019,0.012461,2126.56,1.35649,0.0475431,867.758,0.0547837,1076.2,0.0740773,0.00136526,1025.78,2.56745,4.09277,0.150052,0.00477291,901.04,26.7573,1.54143,0.0540082,944.187,21.7376,0.0744637,0.00137242,1036.31,38.8447,6.69068,0.214831,0.22477,0.259282,
91500-3,30,440.687,5555.35,17724.1,1328.85,1434.53,26467.1,110250,163229,21.1056,1,9.449,172.146,17705.1,1317.17,1401.96,26463.5,110235,157356,0.16384,977.648,1.68255,997.551,0.0533089,1047.38,0.386066,0.0122876,2103.62,1.34576,0.0484814,862.625,0.0533089,1047.38,0.0745263,0.00155927,1028.5,2.5973,4.137,0.149098,0.00474202,895.7,26.5955,1.53293,0.0552193,940.218,22.2753,0.0747158,0.00156323,1033.65,43.3915,6.72287,0.220134,0.181622,0.282245,
91500-4,30,416.862,5349.15,17866.6,1350.74,1522.88,27226,111569,165317,21.105,1,48.3937,-783.382,17850,1339.04,1492.55,27222.6,111559,158727,0.163517,975.848,1.68806,1000.61,0.0556872,1093.25,0.384966,0.012282,2098.45,1.35092,0.0470605,865.475,0.0556872,1093.25,0.075077,0.0013681,1054.27,2.60499,4.08058,0.148732,0.00474256,893.639,26.6044,1.53919,0.0536139,943.418,21.6076,0.0752393,0.00137108,1058.63,36.4198,6.74,0.210456,0.25733,0.236441,
91500-5,30,389.952,5317.47,23857.2,1780.57,2677.52,48991.6,147450,230471,20.8935,1,-39.2166,138.997,23843.5,1772.14,2659.98,48989.7,147445,224819,0.16447,981.234,1.6799,1000.44,0.0543823,1069.04,0.38874,0.0123306,2116.11,1.3533,0.0471341,866.507,0.0543823,1069.04,0.0744013,0.00128126,1038.31,2.58128,2.99961,0.148434,0.00470435,891.991,26.3854,1.52725,0.0531859,938.658,21.5115,0.0746955,0.00128633,1046.28,34.1241,6.75537,0.21313,0.368551,0.110735,
91500-6,30,405.564,5339.29,23913,1808.69,2743.09,49733.4,148955,232898,21.105,1,19.6662,-229.665,23901.9,1798.86,2723.06,49730.5,148950,226880,0.162995,973.074,1.69573,1003.53,0.0546767,1074.89,0.384547,0.0122455,2096.54,1.35632,0.0467057,869.191,0.0546767,1074.89,0.0752868,0.00125521,1062.13,2.61026,2.97453,0.146909,0.00467271,883.412,26.2289,1.53128,0.0527196,941.748,20.7038,0.0755897,0.00126027,1070.21,34.6478,6.8276,0.214276,0.317477,0.210249,
91500-11,30,314.613,5363.6,14568.5,1076.16,1178.27,21909.8,89565.9,133999,20.8935,1,-63.37,134.032,14557.5,1066.84,1162.42,21906.9,89562,128344,0.164685,982.353,1.6583,988.557,0.0538984,1058.29,0.389205,0.0123671,2118.23,1.3345,0.0489402,857.425,0.0538984,1058.29,0.0730762,0.00145969,995.857,2.57872,4.08998,0.14905,0.00475101,895.441,26.6538,1.50978,0.055398,930.561,22.4827,0.073296,0.00146408,1001.97,41.413,6.72901,0.216207,0.36236,0.0613343,
91500-12,30,342.379,5263.84,14099.9,1042.38,1156.48,21063.3,85837,128829,20.8935,1,1.52511,-221.68,14088.9,1032.63,1140.98,21059.6,85834.6,122955,0.166319,991.377,1.67755,998.28,0.0548681,1077.38,0.392614,0.0125629,2133.85,1.35122,0.0503144,864.36,0.0548681,1077.38,0.0734042,0.00167362,998.383,2.558,4.07359,0.150088,0.00481477,901.224,26.9913,1.52635,0.0568499,936.913,22.7265,0.0736289,0.00167876,1004.61,46.7007,6.68671,0.217008,0.161621,0.26524,
91500-9,30,325.848,5284.31,14715.4,1093.9,1161.51,21798.1,90078.9,134470,21.1056,1,-37.339,163.592,14704.6,1085.7,1148.28,21798,90073.9,128937,0.164855,983.286,1.68568,997.593,0.053013,1041.8,0.389781,0.0125098,2120.67,1.34703,0.0503521,862.491,0.053013,1041.8,0.0740062,0.00172128,1008.89,2.57716,4.13837,0.15402,0.00492716,923.198,27.5021,1.57271,0.058759,955.207,23.0186,0.0739896,0.00172087,1008.44,47.4669,6.52433,0.20855,0.157279,0.269646,
91500-10,30,278.414,5142.96,14329.7,1069.27,1162.83,21005.9,86531.7,129835,21.1056,1,-38.3299,-315.012,14320.7,1061.38,1151,21005.6,86528,124028,0.166914,994.712,1.70689,1008.04,0.0553322,1085.73,0.393537,0.0126346,2138.04,1.37041,0.0509549,872.556,0.0553322,1085.73,0.0744008,0.00163694,1022.65,2.54975,4.14289,0.15587,0.00498735,933.521,27.7734,1.60375,0.0595875,967.377,23.3516,0.0743689,0.00163624,1021.78,45.2612,6.44097,0.20806,0.275794,0.175557,
91500-21,30,302.253,5218.64,14398.3,1089.54,1179.95,21378.9,88206.4,131821,20.8935,1,-52.0379,160.077,14388.9,1082.26,1162.63,21376,88201.5,126372,0.165239,985.419,1.7186,1012.76,0.0551502,1082.46,0.391162,0.0124891,2127.18,1.3813,0.0499207,877.81,0.0551502,1082.46,0.0755553,0.00155126,1058.15,2.56692,4.12438,0.148829,0.00476132,894.176,26.7126,1.55416,0.0561902,948.644,22.2015,0.0759068,0.00155848,1067.51,41.1715,6.73441,0.216812,0.24223,0.211783,
91500-22,30,322.911,5177.69,15409.8,1155.83,1277.73,24603.7,95801.7,143782,20.8935,1,43.1607,-188.333,15400.7,1148.36,1260.85,24600.3,95797.1,138081,0.163793,977.417,1.68188,996.649,0.052004,1022.83,0.387613,0.0123351,2110.8,1.35288,0.0505351,864.911,0.052004,1022.83,0.0746863,0.00170839,1026.9,2.58977,3.9446,0.147301,0.00469575,885.615,26.4001,1.52053,0.05681,934.395,23.2342,0.075055,0.00171684,1036.89,48.3369,6.80233,0.220914,0.193033,0.220915,
91500-14,30,436.375,5049.86,19465,1470.76,2017.96,37325.3,119014,184840,20.8935,1,81.2208,-273.526,19457.8,1464.38,2004.39,37322.4,119010,179124,0.165676,987.96,1.71887,1013,0.0540146,1061.56,0.393285,0.0128012,2136.55,1.38777,0.0512781,881.508,0.0540146,1061.56,0.0752456,0.00148867,1060.47,2.55714,3.23441,0.151254,0.00492118,907.664,27.477,1.5797,0.0583655,959.688,22.6116,0.0757732,0.00149909,1074.55,40.1297,6.64423,0.210118,0.429639,0.0942032,
91500-15,30,287.156,4907.62,21514.6,1629.88,2440.8,43611.2,131651,206057,20.8935,1,-23.1392,135.234,21506.9,1623,2427.63,43606.5,131646,200937,0.165138,985.006,1.71668,1011.48,0.0560537,1101.14,0.391406,0.0125189,2128.27,1.3824,0.0491661,878.472,0.0560537,1101.14,0.0752253,0.00135014,1057.92,2.56019,3.00593,0.149826,0.00478878,899.759,26.8438,1.57076,0.0558526,955.405,22.6243,0.0759123,0.00136246,1076.23,38.1306,6.68353,0.213546,0.409597,0.0955854,
91500-16,30,312.855,4976.22,20805.1,1527.65,2328.71,42427.7,127207,199388,20.8935,1,50.2368,-94.2273,20797.3,1519.8,2315.2,42423.3,127203,194011,0.16476,982.848,1.67023,993.802,0.055494,1090.4,0.390699,0.0124738,2125.04,1.33989,0.0469896,860.574,0.055494,1090.4,0.073367,0.00136491,1006.72,2.56976,3.00114,0.149617,0.00477331,898.593,26.7307,1.52321,0.0534069,936.869,21.8084,0.0740503,0.00137761,1025.54,37.6821,6.70574,0.211133,0.26434,0.211261,
91500-17,30,290.005,4799.48,20666,1517.99,2197.99,40952.1,124831,195032,20.9995,1,23.1271,101.706,20659,1509.55,2179.36,40949.1,124827,190026,0.166765,993.982,1.68715,1001.66,0.053796,1061.62,0.395052,0.0126834,2145.04,1.3541,0.048628,866.235,0.053796,1061.62,0.0732097,0.0014046,1011.26,2.53988,3.05141,0.154211,0.00494571,924.265,27.5459,1.57085,0.0563905,955.268,22.5495,0.0739696,0.00141918,1032.2,36.9063,6.49699,0.206482,0.336701,0.143948,
91500-19,30,248.048,4593.54,13682.1,1015.57,1099.49,20422.1,83693.6,124773,21.1056,1,-7.8547,81.4199,13674.2,1008.48,1083.21,20421.3,83686.1,119943,0.165372,986.141,1.68408,1001.05,0.0531614,1044.53,0.390794,0.0125366,2125.37,1.3512,0.0500679,865.946,0.0531614,1044.53,0.0740521,0.00170881,1016.03,2.57019,4.1109,0.151673,0.00487586,910.086,27.2442,1.55669,0.0577074,950.66,22.7877,0.0748891,0.00172812,1038.83,47.143,6.61726,0.209148,0.147761,0.272356,
91500-20,30,235.231,4535.23,13696.8,1012.44,1093.94,20425.5,84351,125372,21.1056,1,-5.84534,-254.854,13689.6,1005.88,1081.24,20425.3,84340.1,120275,0.164384,980.738,1.65281,988.191,0.0536428,1053.77,0.387576,0.0124885,2110.35,1.33241,0.0498156,856.154,0.0536428,1053.77,0.0730531,0.00154912,996.851,2.58982,4.12035,0.150184,0.00485165,901.727,27.1361,1.53227,0.057324,939.163,22.9336,0.073881,0.00156668,1019.77,44.4884,6.67856,0.215587,0.294585,0.152602,
91500-35,30,256.987,4465.09,17385.2,1299.85,1842.05,34627.1,108609,168511,20.8935,1,10.9558,108.735,17377.6,1294.02,1829.77,34625.7,108603,163877,0.16201,967.656,1.66737,993.643,0.0530375,1043.15,0.384653,0.0123745,2096.8,1.33762,0.0480236,861.792,0.0530375,1043.15,0.0745916,0.00150923,1042.04,2.612,3.14922,0.14396,0.00462287,866.775,26.0196,1.49179,0.0535251,926.48,21.8328,0.0754492,0.00152659,1065.12,39.6482,6.97206,0.222022,0.289218,0.213993,
91500-36,30,254.753,4422.26,19095.8,1435.08,2137.97,38880.7,116288,182300,20.8935,1,4.42355,-335.124,19086.7,1428.57,2125.5,38879.1,116283,177256,0.165536,987.176,1.71967,1012.04,0.0548683,1078.22,0.391985,0.0125293,2130.97,1.37896,0.0488918,877.154,0.0548683,1078.22,0.0752206,0.00139947,1058.12,2.56185,2.98914,0.146888,0.00468339,883.275,26.3299,1.54058,0.054583,943.629,21.8767,0.0760951,0.00141575,1081.38,36.3092,6.82926,0.219961,0.337676,0.154561,
91500-24,30,359.332,4253.46,18796.1,1393.52,2112.89,38387.8,114066,179446,20.9995,1,74.8704,-185.994,18789.3,1386.2,2100.92,38387.4,114062,174686,0.166211,990.969,1.69406,1005.79,0.0553189,1086.92,0.394237,0.0128134,2140.98,1.36692,0.0497076,871.498,0.0553189,1086.92,0.0739289,0.00136302,1026.88,2.55083,2.96151,0.156143,0.00506199,934.969,28.1666,1.6074,0.0584228,969.285,22.8908,0.0746849,0.00137697,1047.46,37.6249,6.43548,0.204367,0.475026,0.0710487,
91500-25,30,265.173,4288.97,19337.8,1396.93,2209.65,39033.4,117358,183848,21.105,1,21.3543,59.0486,19331,1391.21,2198.45,39030.7,117352,179343,0.166484,992.424,1.66847,994.089,0.0565256,1109.8,0.392977,0.0125957,2135.49,1.33373,0.0484072,858.593,0.0565256,1109.8,0.0727894,0.00152859,985.157,2.55609,2.98554,0.149598,0.00483338,898.466,27.1164,1.51251,0.0549841,934.744,23.4511,0.073638,0.00154641,1008.77,43.4329,6.71251,0.220226,0.304406,0.144655,
91500-26,30,243.337,4190.34,18700.2,1379.96,2029.22,36854.3,112919,175999,20.8935,1,33.7758,-137.62,18692.8,1374.62,2019.83,36851.9,112911,171423,0.166697,993.617,1.69337,1002.72,0.0554303,1088.97,0.395464,0.0126987,2146.94,1.35964,0.0481584,868.916,0.0554303,1088.97,0.0735159,0.00134418,1007.27,2.54,3.07204,0.149922,0.00484849,900.273,27.1251,1.53563,0.0545005,941.65,21.9602,0.0743849,0.00136007,1031.12,37.7109,6.69878,0.211784,0.374132,0.149723,
91500-27,30,285.881,4103.44,19607.9,1448.75,2145.75,38931.9,120841,187384,20.8935,1,34.9644,39.961,19600.1,1442.48,2132.33,38929.5,120836,183035,0.16534,986.034,1.66877,994.937,0.0551464,1087.66,0.390765,0.0123755,2125.53,1.3458,0.0473725,864.321,0.0551464,1087.66,0.0736062,0.0013275,1019.54,2.56757,3.09123,0.149073,0.00469641,895.586,26.3339,1.52481,0.0536069,938.782,21.3106,0.0743567,0.00134102,1040.08,35.2687,6.72325,0.211469,0.336792,0.0968328,
91500-29,30,221.232,4008.95,12735.8,948.35,1010.04,19194.8,78741.5,117197,21.105,1,-57.0703,4.27835,12729.1,941.71,997.58,19194.9,78738.5,112874,0.163138,975.135,1.66932,993.852,0.052554,1032.39,0.386132,0.0124012,2103.71,1.34211,0.0509369,861.432,0.052554,1032.39,0.0741217,0.00168908,1034.69,2.60191,4.12228,0.148518,0.00477309,892.403,26.8028,1.53212,0.0581583,940.226,23.8578,0.0747721,0.00170391,1052.37,46.6449,6.76036,0.221049,0.223197,0.195575,
91500-30,30,215.559,3981.05,11931.8,889.417,956.15,18096.7,73703.7,109778,20.8935,1,-45.8554,-148.725,11925.4,883.567,944.06,18096.5,73701.8,105359,0.163989,978.406,1.68897,999.476,0.0527076,1035.36,0.387727,0.0123952,2111.23,1.3544,0.0515453,866.868,0.0527076,1035.36,0.0746774,0.00179097,1035.16,2.58452,4.06864,0.149066,0.0047677,895.498,26.7529,1.54523,0.058811,945.615,23.2511,0.0753275,0.00180655,1052.71,48.6075,6.71804,0.216714,0.212675,0.21553,
