,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ6_2_matrix
GQ6_2_mrt-78,7.62152,0.874683,13108.6,574.486,931.469,112.987,6780.58,106.88,0.91613,0.0443443,4692.81,55.1241,0.180143,0.0169398,0.385631,0.9966,
GQ6_2_mrt-79,4.44982,0.308847,10802.5,369.515,531.336,39.6043,6349.92,79.9046,0.883143,0.0185601,4885.11,21.5336,0.252489,0.0180877,0.328277,0.906887,
GQ6_2_mrt-80,3.7895,0.260744,10078.9,333.213,451.987,34.2602,6196.65,75.7844,0.878949,0.0189009,4885.2,26.2095,0.290686,0.0208621,0.0732122,0.87967,
GQ6_2_mrt-81,2.11312,0.135833,7247.45,283.999,240.718,17.1933,5553.48,77.318,0.842271,0.0151123,4866.36,21.0224,0.510008,0.030912,0.10906,0.859931,
GQ6_2_mrt-82,6.60785,0.798752,12299.1,598.444,764.309,88.3073,6635.92,111.154,0.917784,0.0405027,4720.92,57.2901,0.211275,0.0187921,0.411339,0.860343,
GQ6_2_mrt-83,5.20083,0.349432,11620.5,363.192,639.646,48.4296,6530.77,77.5977,0.902556,0.0213892,4863.95,32.3638,0.210039,0.015088,0.227657,0.873518,
GQ6_2_mrt-84,3.51971,0.231948,9637.32,334.299,424.763,31.2215,6127.3,77.8517,0.893819,0.0210491,4857.79,27.5998,0.307964,0.020521,0.262279,0.821302,
GQ6_2_mrt-85,3.08059,0.226529,8947.95,372.964,375.573,30.5204,5968.06,84.1558,0.885003,0.0191277,4864.89,28.8604,0.357752,0.0272257,0.146353,0.91754,
GQ6_2_mrt-86,4.37496,0.310216,10680.8,349.933,540.304,40.6435,6371.23,80.2937,0.924471,0.0234163,4870.24,34.3001,0.248753,0.0163585,0.25523,0.877832,
GQ6_2_mrt-87,3.7671,0.245578,10036.6,351.546,465.432,33.4195,6218.86,72.1233,0.901958,0.0176985,4899.89,25.5944,0.278601,0.0189565,0.315967,0.857143,
GQ6_2_mrt-88,3.48396,0.298194,9446.01,422.397,421.156,37.7408,6077.46,86.8652,0.888447,0.0227468,4827.19,33.5164,0.329109,0.0262647,0.246444,0.917969,
GQ6_2_mrt-89,2.85667,0.176964,8654.96,298.709,347.64,24.3339,5922.33,70.1623,0.879948,0.0186575,4857.98,34.8869,0.359687,0.0223834,0.227821,0.778356,
GQ6_2_mrt-90,0.929101,0.0529436,4224.93,175.613,90.0116,5.83086,4574.86,66.6177,0.70953,0.0122362,4731.57,24.1926,1.0881,0.0611217,0.319235,0.689327,
G_NIST610
NIST 610 - 19,0.185197,0.00985872,1095.09,53.507,23.1027,1.4142,3232.2,63.2682,0.910446,0.00778173,4978.88,10.2472,5.36815,0.279513,0.319426,0.626855,
NIST 610 - 17,0.184649,0.00985726,1092.04,53.5059,23.0685,1.41137,3228.5,59.211,0.911418,0.00787149,4979.93,15.7606,5.3851,0.280342,0.476029,0.62906,
NIST 610 - 18,0.176247,0.00956805,1046.28,52.384,22.1518,1.37911,3189.12,60.5991,0.905481,0.00748024,4965.34,22.3829,5.6989,0.314992,0.30655,0.606136,
NIST 610 - 15,0.224693,0.0116047,1306.3,61.0546,30.3064,1.75844,3495.95,56.8123,0.906059,0.00816091,4966.29,14.2981,4.57294,0.238258,0.610929,0.459718,
